2023-10-30 15:39:53.309 [main] INFO  org.example.Main - Executing Power function!
2023-10-30 18:26:19.945 [main] INFO  org.example.Main - Executing Addition!
2023-10-30 18:26:19.949 [main] INFO  org.example.Main - Executing multiplication!
2023-10-30 18:26:19.950 [main] INFO  org.example.Main - Executing Subtraction!
2023-10-30 18:26:19.951 [main] INFO  org.example.Main - Executing Addition!
2023-10-30 18:29:22.600 [main] INFO  org.example.Main - Executing Addition!
2023-10-30 18:29:22.604 [main] INFO  org.example.Main - Executing multiplication!
2023-10-30 18:29:22.605 [main] INFO  org.example.Main - Executing Subtraction!
2023-10-30 18:29:22.606 [main] INFO  org.example.Main - Executing Addition!
2023-11-04 23:22:26.779 [main] INFO  org.example.Main - Executing Addition!
2023-11-04 23:22:26.786 [main] INFO  org.example.Main - Executing multiplication!
2023-11-04 23:22:26.788 [main] INFO  org.example.Main - Executing Subtraction!
2023-11-04 23:22:26.789 [main] INFO  org.example.Main - Executing Addition!
2023-11-14 16:28:10.271 [main] INFO  org.example.Main - Executing Addition!
2023-11-14 16:28:10.278 [main] INFO  org.example.Main - Executing multiplication!
2023-11-14 16:28:10.279 [main] INFO  org.example.Main - Executing Subtraction!
2023-11-14 16:28:10.281 [main] INFO  org.example.Main - Executing Addition!
